taxonKey,nubKey,taxonID,scientificName,kingdom,taxonRank
160883570,2284723,87089,"Urnatella gracilis Leidy, 1851",Animalia,SPECIES
160883576,3203682,86929,Phytophthora cinnamomi Rands,Chromista,SPECIES
160883579,1006399,86707,"Einhornia crustulenta (Pallas, 1766)",Animalia,SPECIES
160883583,3202936,86551,Aphanomyces astaci Schikora,Chromista,SPECIES
160883588,2327735,86741,"Ficopomatus enigmaticus (Fauvel, 1923)",Animalia,SPECIES
160883593,2321339,87060,"Streblospio gynobranchiata Rice & Levin, 1998",Animalia,SPECIES
160883595,5197736,86940,"Polydora websteri Hartman, 1943",Animalia,SPECIES
160883596,5254231,86886,Ophiostoma novo-ulmi Brasier,Fungi,SPECIES
160883597,5197747,86939,"Polydora cornuta Bosc, 1802",Animalia,SPECIES
160883598,2321463,86694,"Dipolydora quadrilobata (Jacobi, 1883)",Animalia,SPECIES
160883603,2566393,86668,Cryphonectria parasitica (Murrill) M.E.Barr,Fungi,SPECIES
160883611,4283395,86689,"Diadumene lineata (Verrill, 1869)",Animalia,SPECIES
160883612,2685796,86962,Pseudotsuga menziesii (Mirb.) Franco,Plantae,SPECIES
160883614,5285053,86932,Pinus ponderosa Douglas ex C.Lawson,Plantae,SPECIES
160883616,5285533,86931,Pinus banksiana Lamb.,Plantae,SPECIES
160883617,5284982,86933,Pinus strobus L.,Plantae,SPECIES
160883620,2265079,86970,"Rathkea octopunctata (M.Sars, 1835)",Animalia,SPECIES
2684855,2684860,87074,Platycladus orientalis (L.) Franco,Plantae,SPECIES
2266546,2266521,86753,"Calyptospadix cerulea Clarke, 1882",Animalia,SPECIES
160883626,2684191,87071,Taxodium distichum (L.) Rich.,Plantae,SPECIES
160883628,2684391,86806,Juniperus virginiana L.,Plantae,SPECIES
160883629,2268682,86590,"Blackfordia virginica Mayer, 1910",Animalia,SPECIES
160883636,2687885,86755,Ginkgo biloba L.,Plantae,SPECIES
160883639,2501248,86853,"Mnemiopsis leidyi A.Agassiz, 1865",Animalia,SPECIES
160883644,2650829,86683,Cyrtomium falcatum (L.fil.) C.Presl,Plantae,SPECIES
160883647,5233152,86584,"Beroe ovata Bruguière, 1789",Animalia,SPECIES
160883648,2651586,86635,Ceratopteris thalictroides (L.) Brongn.,Plantae,SPECIES
160883655,2650107,86578,Azolla filiculoides Lam.,Plantae,SPECIES
160883656,5192470,86948,"Potamopyrgus antipodarum (J.E.Gray, 1843)",Animalia,SPECIES
160883660,2291334,86961,"Pseudosuccinea columella (Say, 1817)",Animalia,SPECIES
160883663,2775561,87111,Yucca filamentosa L.,Plantae,SPECIES
160883665,8080743,87012,Scilla siberica Andrews,Plantae,SPECIES
160883666,4363583,86967,"Rapana venosa (Valenciennes, 1846)",Animalia,SPECIES
160883669,9520065,86740,"Ferrissia californica (Rowell, 1863)",Animalia,SPECIES
160883670,2858581,86865,Narcissus poeticus L.,Plantae,SPECIES
160883674,2781103,86768,Hemerocallis lilioasphodelus L.,Plantae,SPECIES
160883675,2291865,86655,"Corambe obscura (A.E.Verrill, 1870)",Animalia,SPECIES
160883676,2781074,86767,Hemerocallis fulva (L.) L.,Plantae,SPECIES
160883680,5296178,87037,Sisyrinchium montanum Greene,Plantae,SPECIES
